mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.012992548942565917,0.002293238291300871,0.0036716461181640625,0.0005475998630676437,1,scale,"{'C': 1, 'gamma': 'scale'}",-3451.8687524964134,-8002.592090345263,-5318.432003143154,-6233.852391101952,-4348.611961471778,-4928.622970037255,-6053.6658685550965,-7994.645804114684,-9589.91922255888,-6607.030234241241,-6252.924129806572,1774.6913108713788,9
0.010717940330505372,0.0005741351862926079,0.003505039215087891,0.0010273128392733661,1,auto,"{'C': 1, 'gamma': 'auto'}",-3456.573706959014,-8003.499263484634,-5318.072870436464,-6226.958504265369,-4351.784627197062,-4932.034090834304,-6053.408289912774,-7987.710029520813,-9585.994134934152,-6603.305818268512,-6251.93413358131,1771.9817678036932,8
0.010014009475708009,0.00033298112349996404,0.0030605077743530275,0.00018787281313242612,1,0.01,"{'C': 1, 'gamma': 0.01}",-4193.10415421982,-8986.802156539194,-6013.2301996912565,-7052.3369543754025,-5320.655170005581,-5732.639822453919,-7153.207448097435,-9030.653132267997,-10767.924575381625,-7621.260504362092,-7187.1814117394315,1887.0288245895931,11
0.010708165168762208,0.001983677759024762,0.003160381317138672,0.00043928715008312335,1,0.001,"{'C': 1, 'gamma': 0.001}",-4711.258000470968,-9660.147427969503,-6539.451595900574,-7780.786272931026,-5960.672625023383,-6292.399612473836,-7978.446697744439,-9934.562526481548,-11689.549828637684,-8391.6157959047,-7893.8890383537655,2005.6038284819285,12
0.011391329765319824,0.0016492335641641125,0.0030954360961914064,0.00034820866233400543,10,scale,"{'C': 10, 'gamma': 'scale'}",-1482.1042562011635,-3549.82207160612,-2233.532593936658,-2534.576182405014,-1107.2927578299725,-1731.9875784631906,-2399.0651951222276,-3254.2834907329584,-3299.529016101254,-2325.65287263424,-2391.78460150328,766.2626392500918,5
0.012617850303649902,0.005883039367354478,0.006176090240478516,0.009491194203478737,10,auto,"{'C': 10, 'gamma': 'auto'}",-1481.8719314306477,-3549.937739889092,-2233.2806863047335,-2529.259616973774,-1107.9948041093046,-1736.019350807066,-2398.7823396819017,-3248.659526633135,-3294.0233399069125,-2321.529272839522,-2390.135860857609,764.5033624855813,4
0.010623311996459961,0.001336074390861235,0.0030610084533691405,0.0003079697702828487,10,0.01,"{'C': 10, 'gamma': 0.01}",-1865.6017559503807,-4871.500026102943,-2998.6320359016568,-3109.8314260727925,-1897.0881298331296,-2575.215405564668,-3285.013439554577,-3935.4056301858377,-4973.0092013637395,-3502.120577549019,-3301.341762807874,1019.3787931364068,7
0.014071774482727051,0.009225327309117326,0.002959609031677246,0.0001617209320404403,10,0.001,"{'C': 10, 'gamma': 0.001}",-4106.306756990492,-8861.703732300466,-5910.291615447839,-6900.511815959053,-5221.329844984205,-5632.537015719744,-7008.812002318163,-8845.925308663785,-10557.92608757524,-7473.386541078662,-7051.873072103766,1852.9416820214929,10
0.01903810501098633,0.0020699031313066024,0.003192019462585449,0.0005120662755572547,100,scale,"{'C': 100, 'gamma': 'scale'}",-1459.4958197852288,-1184.137709876433,-1128.3657751872622,-1031.669145117381,-872.7048967524973,-977.0834645912838,-1568.874842646366,-1263.2649807331034,-1671.6302311209686,-1065.582482833355,-1222.280934864388,251.69031537608276,1
0.019235444068908692,0.0050543210303952675,0.006111931800842285,0.009542391677853012,100,auto,"{'C': 100, 'gamma': 'auto'}",-1460.69850190394,-1183.8456541490948,-1128.4020183120958,-1034.3461365721305,-873.4254026566883,-975.8109611477,-1568.8344815174178,-1263.7933680993945,-1671.7792639634017,-1064.606961890255,-1222.5542750212117,251.72053989165303,2
0.016275238990783692,0.00910297875061578,0.002933359146118164,9.917543462022943e-05,100,0.01,"{'C': 100, 'gamma': 0.01}",-1441.4913485924774,-2445.844450201184,-1674.1038592246775,-1654.9859849601132,-1045.3461934159775,-1340.0344976609993,-2108.187213446426,-1477.7119470161472,-1853.031271756302,-1698.3010427862173,-1673.9037809060524,376.3767284990015,3
0.009514427185058594,0.0010852705258563252,0.002781510353088379,0.00029772902749726645,100,0.001,"{'C': 100, 'gamma': 0.001}",-1736.3099530885656,-4568.903398982704,-2765.322760823904,-2836.680289293236,-1737.9146326930006,-2368.850127065481,-3087.7495798323394,-3468.854714560874,-4432.9051029661805,-3231.1933691968948,-3023.468392850318,919.7831954615684,6
